City,Lat,Lon,Pop_15to44,Population
San Antonio,29.43,-98.49,318.0,1041.0
San Antonio,29.42,-98.52,22630.0,54071.0
San Antonio,29.44,-98.46,1906.0,4704.0
San Antonio,29.49,-98.46,15375.0,41274.0
San Antonio,29.4,-98.46,15549.0,37801.0
San Antonio,29.34,-98.57,13584.0,31952.0
San Antonio,29.46,-98.49,12317.0,28664.0
San Antonio,29.52,-98.53,20279.0,43394.0
San Antonio,29.33,-98.48,11318.0,26013.0
San Antonio,29.44,-98.48,1869.0,2686.0
San Antonio,29.53,-98.48,19270.0,41042.0
San Antonio,29.55,-98.43,15042.0,33803.0
San Antonio,29.49,-98.4,15418.0,35384.0
San Antonio,29.45,-98.38,5872.0,16376.0
San Antonio,29.41,-98.39,6296.0,16833.0
San Antonio,29.29,-98.47,17388.0,40249.0
San Antonio,29.37,-98.39,10346.0,24189.0
San Antonio,29.3,-98.4,23383.0,54517.0
San Antonio,29.31,-98.54,9772.0,21636.0
San Antonio,29.38,-98.53,5406.0,13933.0
San Antonio,29.38,-98.56,2915.0,6755.0
San Antonio,29.39,-98.64,20928.0,49793.0
San Antonio,29.46,-98.57,26518.0,62371.0
San Antonio,29.51,-98.57,18146.0,32338.0
San Antonio,29.54,-98.56,20291.0,45104.0
San Antonio,29.57,-98.55,2927.0,8453.0
San Antonio,29.58,-98.48,15321.0,38054.0
San Antonio,29.56,-98.37,20659.0,47700.0
Jbsa Ft Sam Houston,29.46,-98.44,3513.0,5552.0
San Antonio,29.34,-98.44,694.0,1062.0
Jbsa Lackland,29.38,-98.61,6149.0,7048.0
San Antonio,29.42,-98.57,15085.0,37508.0
San Antonio,29.47,-98.61,11320.0,25300.0
San Antonio,29.52,-98.36,10981.0,28373.0
San Antonio,29.52,-98.61,28752.0,58207.0
San Antonio,29.35,-98.6,15374.0,33219.0
San Antonio,29.371,-98.597,413.0,413.0
San Antonio,29.48,-98.34,13967.0,30618.0
San Antonio,29.41,-98.72,34591.0,72277.0
San Antonio,29.57,-98.41,22478.0,52885.0
San Antonio,29.59,-98.53,4960.0,14372.0
San Antonio,29.57,-98.62,32098.0,56674.0
San Antonio,29.5,-98.67,26015.0,60906.0
San Antonio,29.46,-98.67,29345.0,58522.0
San Antonio,29.34,-98.71,5683.0,10593.0
San Antonio,29.47,-98.8,17479.0,41188.0
San Antonio,29.54,-98.72,26890.0,56329.0
San Antonio,29.64,-98.67,5253.0,14507.0
San Antonio,29.63,-98.62,5016.0,9423.0
San Antonio,29.64,-98.58,2247.0,6107.0
San Antonio,29.65,-98.51,18297.0,45966.0
San Antonio,29.63,-98.41,10334.0,25873.0
San Antonio,29.69,-98.52,10525.0,27907.0
San Antonio,29.68,-98.4,7118.0,17143.0
San Antonio,29.35,-98.31,1992.0,5072.0
San Antonio,29.21,-98.5,4493.0,10188.0
Del Valle,30.15,-97.58,13909.0,27900.0
Leander,30.44,-97.95,2860.0,10705.0
Manchaca,30.13,-97.86,1818.0,4965.0
Manor,30.3,-97.5,8982.0,20822.0
Pflugerville,30.43,-97.6,39186.0,85450.0
Spicewood,30.4,-98.1,2731.0,11375.0
Austin,30.27,-97.74,4841.0,7875.0
Austin,30.26,-97.71,12336.0,22876.0
Austin,30.29,-97.77,9863.0,20788.0
Austin,30.24,-97.75,27885.0,47158.0
Austin,30.29,-97.74,30758.0,33075.0
Austin,30.286,-97.734,845.0,845.0
Austin,30.15,-97.67,653.0,2007.0
Austin,30.27,-97.68,6234.0,12447.0
Austin,30.29,-97.72,4314.0,7254.0
Austin,30.3,-97.69,15922.0,33170.0
Austin,30.29,-97.61,12441.0,24833.0
Austin,30.25,-97.62,3471.0,7517.0
Austin,30.43,-97.84,7223.0,14610.0
Austin,30.43,-97.72,14713.0,28999.0
Austin,30.45,-97.69,10697.0,21245.0
Austin,30.37,-97.84,3464.0,8933.0
Austin,30.35,-97.77,11445.0,27447.0
Austin,30.38,-97.89,6250.0,17762.0
Austin,30.32,-97.87,2801.0,8754.0
Austin,30.38,-97.96,5560.0,18722.0
Austin,30.27,-97.87,7045.0,17919.0
Austin,30.24,-97.89,2935.0,8199.0
Austin,30.31,-97.98,5419.0,15746.0
Austin,30.17,-97.89,6757.0,20191.0
Austin,30.23,-97.72,34159.0,52307.0
Austin,30.24,-97.66,196.0,517.0
Austin,30.18,-97.74,23979.0,48432.0
Austin,30.21,-97.8,31384.0,62220.0
Austin,30.3,-97.81,9664.0,28268.0
Austin,30.12,-97.75,9807.0,20954.0
Austin,30.16,-97.82,25074.0,49142.0
Austin,30.21,-97.86,16835.0,37453.0
Austin,30.41,-97.8,12252.0,30758.0
Austin,30.31,-97.72,10388.0,14949.0
Austin,30.34,-97.7,10967.0,20302.0
Austin,30.38,-97.67,30098.0,58693.0
Austin,30.37,-97.64,12077.0,23858.0
Austin,30.32,-97.74,4421.0,8377.0
Austin,30.35,-97.73,11247.0,24059.0
Austin,30.38,-97.71,24910.0,46618.0
Austin,30.4,-97.75,17809.0,41847.0
Anthony,31.97,-106.6,3355.0,7269.0
Canutillo,31.94,-106.59,5381.0,11835.0
Clint,31.55,-106.18,2457.0,5889.0
San Elizario,31.5,-106.2,5068.0,12452.0
El Paso,31.76,-106.48,3741.0,10284.0
El Paso,31.78,-106.5,8315.0,20123.0
El Paso,31.79,-106.45,6137.0,16495.0
El Paso,31.86,-106.45,14049.0,34098.0
El Paso,31.76,-106.43,8369.0,23108.0
El Paso,31.81,-106.4,2908.0,5125.0
El Paso,31.72,-106.36,21541.0,53505.0
El Paso,31.83,-106.37,3497.0,5299.0
El Paso,31.882,-106.544,2325.0,4474.0
El Paso,31.85,-106.54,33539.0,81159.0
El Paso,31.75,-106.38,13714.0,35622.0
Fort Bliss,31.9,-106.2,2960.0,3074.0
El Paso,31.8,-106.54,2990.0,8528.0
El Paso,31.89,-106.43,24467.0,59587.0
El Paso,31.79,-106.38,16427.0,39455.0
El Paso,31.65,-106.27,17806.0,41162.0
El Paso,31.6,-106.1,27510.0,56851.0
El Paso,31.82,-106.46,11587.0,28324.0
El Paso,31.88,-106.61,11722.0,28345.0
El Paso,31.9,-106.5,12891.0,25846.0
El Paso,31.79,-106.33,7050.0,18166.0
El Paso,31.78,-106.31,50596.0,111918.0
El Paso,31.8,-106.1,38475.0,77487.0
