Zip Code,City,County,Type
75668,Lone Star,Morris,Standard
75669,Long Branch,Panola,Standard
75670,Marshall,Harrison,Standard
75671,Marshall,Harrison,P.O. Box
75672,Marshall,Harrison,Standard
75680,Minden,Rusk,P.O. Box
75681,Mount Enterprise,Rusk,Standard
75682,New London,Rusk,P.O. Box
75683,Ore City,Upshur,Standard
75684,Overton,Rusk,Standard
75685,Panola,Panola,P.O. Box
75686,Pittsburg,Camp,Standard
75687,Price,Rusk,P.O. Box
75688,Scottsville,Harrison,P.O. Box
75689,Selman City,Rusk,P.O. Box
75691,Tatum,Rusk,Standard
75692,Waskom,Harrison,Standard
75693,White Oak,Gregg,Standard
75694,Woodlawn,Harrison,P.O. Box
75701,Tyler,Smith,Standard
75702,Tyler,Smith,Standard
75703,Tyler,Smith,Standard
75704,Tyler,Smith,Standard
75705,Tyler,Smith,Standard
75706,Tyler,Smith,Standard
75707,Tyler,Smith,Standard
75708,Tyler,Smith,Standard
75709,Tyler,Smith,Standard
75710,Tyler,Smith,P.O. Box
75711,Tyler,Smith,P.O. Box
75712,Tyler,Smith,P.O. Box
75713,Tyler,Smith,P.O. Box
75750,Arp,Smith,Standard
75751,Athens,Henderson,Standard
75752,Athens,Henderson,Standard
75754,Ben Wheeler,Van Zandt,Standard
75755,Big Sandy,Upshur,Standard
75756,Brownsboro,Henderson,Standard
75757,Bullard,Smith,Standard
75758,Chandler,Henderson,Standard
75759,Cuney,Cherokee,P.O. Box
75760,Cushing,Nacogdoches,Standard
75762,Flint,Smith,Standard
75763,Frankston,Anderson,Standard
75764,Gallatin,Cherokee,P.O. Box
75765,Hawkins,Wood,Standard
75766,Jacksonville,Cherokee,Standard
75770,Larue,Henderson,Standard
75771,Lindale,Smith,Standard
75772,Maydelle,Cherokee,P.O. Box
75773,Mineola,Wood,Standard
75778,Murchison,Henderson,Standard
75779,Neches,Anderson,P.O. Box
75780,New Summerfield,Cherokee,P.O. Box
75782,Poynor,Henderson,P.O. Box
75783,Quitman,Wood,Standard
75784,Reklaw,Cherokee,Standard
75785,Rusk,Cherokee,Standard
75788,Sacul,Nacogdoches,P.O. Box
75789,Troup,Smith,Standard
75790,Van,Van Zandt,Standard
75791,Whitehouse,Smith,Standard
75792,Winona,Smith,Standard
75797,Big Sandy,Upshur,Unique
75798,Tyler,Smith,Unique
75799,Tyler,Smith,Unique
75801,Palestine,Anderson,Standard
75802,Palestine,Anderson,P.O. Box
75803,Palestine,Anderson,Standard
75831,Buffalo,Leon,Standard
75832,Cayuga,Anderson,P.O. Box
75833,Centerville,Leon,Standard
75834,Centralia,Trinity,Standard
75835,Crockett,Houston,Standard
75838,Donie,Freestone,Standard
75839,Elkhart,Anderson,Standard
75840,Fairfield,Freestone,Standard
75844,Grapeland,Houston,Standard
75845,Groveton,Trinity,Standard
75846,Jewett,Leon,Standard
75847,Kennard,Houston,Standard
75848,Kirvin,Freestone,P.O. Box
75849,Latexo,Houston,P.O. Box
75850,Leona,Leon,Standard
75851,Lovelady,Houston,Standard
75852,Midway,Madison,Standard
75853,Montalba,Anderson,Standard
75855,Oakwood,Leon,Standard
75856,Pennington,Trinity,Standard
75858,Ratcliff,Houston,P.O. Box
75859,Streetman,Freestone,Standard
75860,Teague,Freestone,Standard
75861,Tennessee Colony,Anderson,Standard
75862,Trinity,Trinity,Standard
75865,Woodlake,Trinity,P.O. Box
75880,Tennessee Colony,Anderson,Unique
75882,Palestine,Anderson,Unique
75884,Tennessee Colony,Anderson,Unique
75886,Tennessee Colony,Anderson,Unique
75901,Lufkin,Angelina,Standard
75902,Lufkin,Angelina,P.O. Box
75903,Lufkin,Angelina,P.O. Box
75904,Lufkin,Angelina,Standard
75915,Lufkin,Angelina,P.O. Box
75925,Alto,Cherokee,Standard
75926,Apple Springs,Trinity,Standard
75928,Bon Wier,Newton,Standard
75929,Broaddus,San Augustine,Standard
75930,Bronson,Sabine,Standard
75931,Brookeland,Jasper,Standard
75932,Burkeville,Newton,Standard
75933,Call,Newton,Standard
75934,Camden,Polk,P.O. Box
75935,Center,Shelby,Standard
75936,Chester,Tyler,Standard
75937,Chireno,Nacogdoches,Standard
75938,Colmesneil,Tyler,Standard
75939,Corrigan,Polk,Standard
75941,Diboll,Angelina,Standard
75942,Doucette,Tyler,P.O. Box
75943,Douglass,Nacogdoches,Standard
75944,Etoile,Nacogdoches,Standard
75946,Garrison,Nacogdoches,Standard
75948,Hemphill,Sabine,Standard
75949,Huntington,Angelina,Standard
75951,Jasper,Jasper,Standard
75954,Joaquin,Shelby,Standard
75956,Kirbyville,Jasper,Standard
75958,Martinsville,Nacogdoches,P.O. Box
75959,Milam,Sabine,Standard
75960,Moscow,Polk,Standard
75961,Nacogdoches,Nacogdoches,Standard
75962,Nacogdoches,Nacogdoches,Unique
75963,Nacogdoches,Nacogdoches,P.O. Box
75964,Nacogdoches,Nacogdoches,Standard
75965,Nacogdoches,Nacogdoches,Standard
75966,Newton,Newton,Standard
75968,Pineland,Sabine,Standard
75969,Pollok,Angelina,Standard
75972,San Augustine,San Augustine,Standard
75973,Shelbyville,Shelby,Standard
