Median Age,Population,Household Income,Per Capita Income,Name,Zip_Codes
40.8,12305.0,101620.0,43685.0,ZCTA5 01879,1879
43.8,26450.0,93337.0,44843.0,ZCTA5 01880,1880
43.4,24087.0,138006.0,51526.0,ZCTA5 01886,1886
42.3,23538.0,118549.0,46239.0,ZCTA5 01887,1887
43.3,22579.0,152196.0,74405.0,ZCTA5 01890,1890
39.7,1878.0,22057.0,18051.0,ZCTA5 01901,1901
33.0,48218.0,42851.0,22841.0,ZCTA5 01902,1902
38.3,17320.0,88395.0,35962.0,ZCTA5 01904,1904
33.6,25590.0,57638.0,24696.0,ZCTA5 01905,1905
45.7,28037.0,82188.0,36419.0,ZCTA5 01906,1906
44.6,14758.0,105029.0,51759.0,ZCTA5 01907,1907
51.8,3488.0,81384.0,57969.0,ZCTA5 01908,1908
43.5,17218.0,78638.0,38491.0,ZCTA5 01913,1913
40.9,41431.0,77893.0,43766.0,ZCTA5 01915,1915
45.9,8228.0,155034.0,64217.0,ZCTA5 01921,1921
48.4,2812.0,87986.0,45173.0,ZCTA5 01922,1922
45.0,27391.0,79795.0,39435.0,ZCTA5 01923,1923
46.3,3687.0,109327.0,51532.0,ZCTA5 01929,1929
49.0,29858.0,65348.0,39670.0,ZCTA5 01930,1930
46.1,136.0,-666666666.0,8860.0,ZCTA5 01937,1937
48.8,13810.0,80829.0,45228.0,ZCTA5 01938,1938
45.4,13425.0,113509.0,53792.0,ZCTA5 01940,1940
51.1,5327.0,105500.0,64841.0,ZCTA5 01944,1944
47.8,20393.0,110025.0,64757.0,ZCTA5 01945,1945
43.9,9656.0,107727.0,46477.0,ZCTA5 01949,1949
49.0,17890.0,89887.0,54980.0,ZCTA5 01950,1950
49.9,4152.0,90662.0,50366.0,ZCTA5 01951,1951
45.5,9035.0,72900.0,32964.0,ZCTA5 01952,1952
44.4,52313.0,65060.0,35077.0,ZCTA5 01960,1960
53.4,7184.0,72015.0,43976.0,ZCTA5 01966,1966
44.3,6232.0,89338.0,45342.0,ZCTA5 01969,1969
36.1,42991.0,65476.0,35379.0,ZCTA5 01970,1970
40.5,7991.0,112250.0,46157.0,ZCTA5 01982,1982
46.3,6496.0,131387.0,54091.0,ZCTA5 01983,1983
24.7,5179.0,96979.0,45023.0,ZCTA5 01984,1984
46.2,4545.0,135882.0,58469.0,ZCTA5 01985,1985
40.6,16929.0,95533.0,45200.0,ZCTA5 02019,2019
41.1,22829.0,96583.0,50869.0,ZCTA5 02021,2021
